parameter,value,unit,source,note
market_size_france_2025,6.4,M€,PAC,
market_growth_rate,10,%,PAC,
sam_france_be_ch,195.2,M€,Bottom-up calculation,
som_24_36_months,4.2,M€,Business plan,
conversion_rate_min,3,%,Benchmark SaaS open-source,
conversion_rate_max,5,%,Benchmark SaaS open-source,
support_monthly_price,280,€/month,
support_target_y1,15,clients,
audit_mission_price,3000,€/mission,
audit_target_y1,10,missions,
training_group_price,2500,€/group,
training_target_y1,5,groups,
msp_monthly_price,400,€/month,
msp_target_y1,2,partners,
deployments_target_y1,500,deployments,
ca_target_y1,84000,€,
ca_target_y2,338000,€,
ca_target_y3,881000,€,
nis2_entities_france,15000,entities,ANSSI,
nis2_deadline,2027,year,
france_2030_envelope,100,M€,
