month,deployments,cumulative_deployments,conversion_rate,clients,monthly_revenue_eur,cumulative_revenue_eur,monthly_costs_eur,cumulative_costs_eur,profit_eur
1,40,40,3%,1,280,280,5833,5833,-5553
2,40,80,3%,1,280,560,5833,11666,-11106
3,45,125,3%,2,560,1120,5833,17500,-16380
4,45,170,3%,2,560,1680,5833,23333,-21653
5,50,220,3%,2,560,2240,5833,29166,-26926
6,50,270,3%,2,560,2800,5833,35000,-32200
7,55,325,3%,3,840,3640,5833,40833,-37193
8,55,380,3%,3,840,4480,5833,46666,-42186
9,60,440,3%,3,840,5320,5833,52500,-47180
10,60,500,3%,15,4480,9800,5833,58333,-48533
11,50,550,3%,15,4480,14280,5833,64166,-49886
12,50,600,3%,18,5040,19320,5833,70000,-50680
Break-even reached at month 10 with 500 deployments and 15 clients
