id,theme,metric_or_fact,value,year,source_url,confidence,notes
S01,Marche cyber global,Taille marche cyber mondial,250 milliards USD,2025,https://www.gartner.com/en/newsroom/press-releases,Gartner,Source Gartner reprise dans etude de marche
S02,Marche cyber France,Taille marche cyber France,6.4 milliards EUR,2025,https://www.pac-online.com/,PAC,PAC cabinet
S03,Marche cyber France,Croissance annuelle marche cyber France,+10%,2025,https://www.pac-online.com/,PAC,PAC cabinet
S04,Marche SIEM France,Taille marche SIEM/SOC France,441 millions EUR,2025,https://www.mordorintelligence.com/,Mordor Intelligence,Mordor Intelligence
S05,Marche SIEM France,Croissance annuelle SIEM/SOC France,+16%,2025,https://www.mordorintelligence.com/,Mordor Intelligence,Mordor Intelligence
S06,Marche monitoring reseau,Taille marche monitoring reseau mondial,4.1 milliards USD,2025,https://www.fortunebusinessinsights.com/,Fortune Business Insights,CAGR 9.5%
S07,NIS2 France,Entites concernees par NIS2 France,15000,2027,https://cyber.gouv.fr/actualites/nis2,high,ANSSI - directive 2022/2555
S08,NIS2 Europe,Directive NIS2,2022/2555,2024,https://digital-strategy.ec.europa.eu/en/policies/nis2-directive,high,Commission Europeenne - effective Oct 2024
S09,Menace France,Score intensite menace,1114.8,2026,https://cyber.gouv.fr/panorama-cybermenace-2025,high,ANSSI Panorama Cybermenace
S10,Menace France,Evenements de menace traites,4386,2024,https://cyber.gouv.fr/panorama-cybermenace-2024,high,ANSSI
S11,Ransomware France,Cas ransomware documentes,317,2026,https://cyber.gouv.fr/actualites,high,ANSSI
S12,PME cyber,Cyberattaques ciblant les PME France,75%,2025,https://www.cybermalveillance.gouv.fr/rapport-activite-2025,high,Cybermalveillance.gouv.fr
S13,PME cyber,PME investissant moins de 1000€/an en cyber,60%,2025,https://www.cybermalveillance.gouv.fr/barometre-2025,high,Cybermalveillance.gouv.fr
S14,PME cyber,PME fermeture dans les 6 mois apres attaque grave,60%,2025,https://www.jedha.co/,Jedha,Etude Jedha
S15,PME cyber,PME exprimant besoin d'outils accessibles,57%,2025,https://www.diginamic.fr/,Diginamic,Etude Diginamic
S16,Vulnerabilite critique,CVE score 10.0,CVE-2026-42369,2026,https://nvd.nist.gov/,high,NIST NVD
S17,Education cyber,Nombre de formations cybersecurite France,900+,2025,https://www.opiiec.fr/,OPIIEC,OPIIEC
S18,France 2030,Enveloppe France 2030 Cyber PME,100 millions EUR,2026,https://www.france2030.gouv.fr/,high,France 2030
S19,Benchmark Wazuh,Prix Wazuh 100 agents,571 USD/mois,2026,https://wazuh.com/cloud/,medium,Pricing catalogue
S20,Benchmark Wazuh,Prix Wazuh 250 agents,923 USD/mois,2026,https://wazuh.com/cloud/,medium,Pricing catalogue
S21,Benchmark Wazuh,Prix Wazuh 500 agents,1467 USD/mois,2026,https://wazuh.com/cloud/,medium,Pricing catalogue
S22,Benchmark Datadog,Prix Cloud SIEM Datadog,5 USD/million events/mois,2026,https://www.datadoghq.com/pricing/?product=cloud-siem,medium,Annuel
S23,Benchmark Datadog,Prix Workload Protection Datadog,15 USD/host/mois,2026,https://www.datadoghq.com/pricing/?product=workload-protection,medium,Annuel
S24,Benchmark Splunk,Prix Splunk Cloud,150 USD/GB/mois,2026,https://www.splunk.com/en_us/products/pricing.html,medium,Pricing public
S25,Benchmark Microsoft,Prix Microsoft Sentinel,Pay-as-you-go,2026,https://azure.microsoft.com/en-us/pricing/details/microsoft-sentinel/,medium,Pricing Azure
S26,Benchmark Elastic,Prix Elastic Cloud,Variable,2026,https://www.elastic.co/pricing/,medium,Pricing public
S27,Benchmark Security Onion,Documentation Security Onion,Gratuit open-source,2026,https://docs.securityonion.net/,high,Documentation officielle
S28,Benchmark Suricata,Documentation Suricata,Gratuit open-source,2026,https://suricata.io/documentation/,high,Documentation officielle
S29,Benchmark Zeek,Documentation Zeek,Gratuit open-source,2026,https://docs.zeek.org/,high,Documentation officielle
S30,Cyber resilience,DORA directive,Digital Operational Resilience Act,2025,https://digital-strategy.ec.europa.eu/en/policies/dora,high,Commission Europeenne
S31,Cyber resilience,Cyber Resilience Act,EU regulation,2025,https://digital-strategy.ec.europa.eu/en/policies/cyber-resilience-act,high,Commission Europeenne
S32,Securite applicative,OWASP ASVS,Application Security Verification Standard,2024,https://owasp.org/www-project-application-security-verification-standard/,high,OWASP
S33,Securite nationale,NIST CSF 2.0,Cybersecurity Framework,2024,https://www.nist.gov/cyberframework,high,NIST
S34,Gouvernance cyber,Cadre OECD securite digitale,Risk-management oriented,2026,https://www.oecd.org/digital/digital-security/,high,OECD
S35,Menace Belgique,Emails suspects traites,9929354,2025,https://ccb.belgium.be/en,high,CCB Belgium key figures
S36,Menace Belgique,Notifications cyberattaques Belgique,556,2025,https://ccb.belgium.be/en,high,CCB Belgium
S37,Menace Belgique,Notifications NIS2 Belgique,635,2025,https://ccb.belgium.be/en,high,CCB Belgium
S38,Menace Belgique,Cas ransomware Belgique,105,2025,https://ccb.belgium.be/fr/news/plus-dattaques-plus-de-signalements,high,CCB Belgium article
